Transaction_ID,Card_Number,Transaction_Amount,Transaction_Statement,Transaction_Date
1,3456,312.3,Hilton,2024-01-01
2,4444,472.44,Starbucks,2024-01-02
3,3456,344.09,American Airlines,2024-01-03
4,4444,186.16,Shell,2024-01-04
5,4444,224.15,Spotify,2024-01-05
6,3696,351.84,Holiday Inn,2024-01-06
7,3456,39.51,Marriott,2024-01-07
8,3696,336.72,ExxonMobil,2024-01-08
9,3456,338.61,Amazon,2024-01-09
10,3456,113.09,Lowe's,2024-01-10
11,3456,73.17,Xbox Live,2024-01-11
12,3696,164.56,Walmart,2024-01-12
13,4444,188.22,United Airlines,2024-01-13
14,3696,289.4,IKEA,2024-01-14
15,3696,224.91,Craigslist,2024-01-15
16,3456,494.3,Hyatt,2024-01-16
17,4444,60.0,Marriott,2024-01-17
18,4444,112.35,McDonald's,2024-01-18
19,4444,89.04,GameStop,2024-01-19
20,4444,330.02,Microsoft Store,2024-01-20
21,3456,134.11,Amazon,2024-01-21
22,4444,238.49,Target,2024-01-22
23,3456,129.77,GameStop,2024-01-23
24,3456,87.9,Epic Games,2024-01-24
25,4444,64.08,Holiday Inn,2024-01-25
26,3696,331.6,McDonald's,2024-01-26
27,3456,77.71,Zara,2024-01-27
28,3696,106.33,Marriott,2024-01-28
29,3456,190.68,Apple Store,2024-01-29
30,4444,412.29,IKEA,2024-01-30
31,4444,57.58,PlayStation Store,2024-01-31
32,3696,420.59,Apple Store,2024-02-01
33,3456,57.09,Adidas,2024-02-02
34,4444,488.47,Amazon,2024-02-03
35,4444,239.64,Target,2024-02-04
36,4444,488.61,Airbnb,2024-02-05
37,3456,306.37,Burger King,2024-02-06
38,3696,372.24,Xbox Live,2024-02-07
39,3456,29.2,Best Buy,2024-02-08
40,3696,148.58,Target,2024-02-09
41,3696,68.9,eBay,2024-02-10
42,3456,155.11,ExxonMobil,2024-02-11
43,3696,68.18,Spotify,2024-02-12
44,3456,165.81,McDonald's,2024-02-13
45,3456,212.99,eBay,2024-02-14
46,3456,41.43,ExxonMobil,2024-02-15
47,4444,349.31,Lowe's,2024-02-16
48,4444,287.63,Microsoft Store,2024-02-17
49,3696,140.04,Ulta,2024-02-18
50,3456,266.39,Hulu,2024-02-19
